sample_size;fair;unfair;sample_size%;fair%;unfair%
100000;99899;98999;0.0024146303;0.0024121915;0.0023904598
4000000;3813245;3008847;0.0965852106;0.0920757678;0.0726525303
8000000;7275049;5074222;0.1931704211;0.1756655349;0.1225237001
16000000;13271507;8067245;0.3863408423;0.3204578245;0.1947941392
24000000;18215286;10277700;0.5795112634;0.4398318084;0.2481684547
32000000;22288102;12052706;0.7726816845;0.5381752562;0.2910282867
40000000;25646890;13539964;0.9658521056;0.6192775677;0.3269400685
48000000;28416418;14818376;1.1590225268;0.686151429;0.3578089915
56000000;30699307;15940495;1.3521929479;0.7412747577;0.3849040165
64000000;32582009;16938930;1.545363369;0.78673505;0.4090125302
72000000;34132895;17839336;1.7385337901;0.8241832127;0.430754006
80000000;35411208;18657589;1.9317042113;0.8550497452;0.4505117905
88000000;36465569;19407486;2.1248746324;0.880508665;0.4686190305
96000000;37336285;20097578;2.3180450535;0.9015332371;0.4852822007
